community_id,community_name,community_no,global_id
380,Italian Village,47,{23B97897-A442-4B4A-AAAF-BB956C49A386}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
384,Far Northwest,31,{63A965E8-9A26-42A7-9763-5283C1590319}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
373,North Linden,40,{EBD72502-8437-49EA-8B84-B94262C09F21}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
362,University District,44,{EB56F546-7152-4174-9982-16FEBB30AC7C}
387,East Columbus,50,{F95D9B6D-EB34-49B7-B4FE-9402CF8F9DD6}
361,Southwest,59,{417925A7-E194-47C5-95EE-866972B32697}
380,Italian Village,47,{23B97897-A442-4B4A-AAAF-BB956C49A386}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
364,South Linden,45,{939F5DBB-93A2-490D-8F4D-7D45DBCCF4F3}
374,Franklinton,54,{0AB9BDC7-71B2-4ED8-BD63-E948C7A42442}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
363,Westland,52,{FEC6B62A-1C9D-4A05-8831-A34CBEBB5A88}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
366,Milo-Grogan,48,{6625CBE2-349C-4E60-989C-85A15F4EF422}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
359,Far South,64,{DE1E5BD1-465B-4DA0-A5DB-4D518C3AC9DF}
373,North Linden,40,{EBD72502-8437-49EA-8B84-B94262C09F21}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
373,North Linden,40,{EBD72502-8437-49EA-8B84-B94262C09F21}
385,Northwest,34,{518A5E34-F736-4E99-808C-22526FFFAB1D}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
380,Italian Village,47,{23B97897-A442-4B4A-AAAF-BB956C49A386}
393,Olentangy West,38,{E6BBBD24-69CF-4FF3-9A60-DC978BFD2525}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
363,Westland,52,{FEC6B62A-1C9D-4A05-8831-A34CBEBB5A88}
391,Airport,51,{DA1EFF3F-847E-418F-BB6F-7E7E8A6FC22B}
383,Victorian Village,46,{13261736-3529-467B-A2E9-2CFDE98DC5E2}
384,Far Northwest,31,{63A965E8-9A26-42A7-9763-5283C1590319}
385,Northwest,34,{518A5E34-F736-4E99-808C-22526FFFAB1D}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
374,Franklinton,54,{0AB9BDC7-71B2-4ED8-BD63-E948C7A42442}
393,Olentangy West,38,{E6BBBD24-69CF-4FF3-9A60-DC978BFD2525}
374,Franklinton,54,{0AB9BDC7-71B2-4ED8-BD63-E948C7A42442}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
382,German Village,61,{50E34181-433E-4514-A8A8-0A6D2367004F}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
389,Hayden Run,30,{E20B37F1-F3D6-4296-9F49-CDB0C48A2470}
367,Far East,58,{E8F939C3-FAAA-488A-A9D1-A34B9B6E32D1}
386,Far North,32,{F8763F82-D472-46D1-94F7-A8352C185682}
386,Far North,32,{F8763F82-D472-46D1-94F7-A8352C185682}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
372,North Central,49,{CD445BC9-E011-40D1-9DED-B32CEB295E0F}
392,Rocky Fork-Blacklick,33,{A8922071-FA1A-428B-B782-810F00B4107B}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
385,Northwest,34,{518A5E34-F736-4E99-808C-22526FFFAB1D}
392,Rocky Fork-Blacklick,33,{A8922071-FA1A-428B-B782-810F00B4107B}
367,Far East,58,{E8F939C3-FAAA-488A-A9D1-A34B9B6E32D1}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
387,East Columbus,50,{F95D9B6D-EB34-49B7-B4FE-9402CF8F9DD6}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
367,Far East,58,{E8F939C3-FAAA-488A-A9D1-A34B9B6E32D1}
375,Northeast,41,{F70B8941-4792-49BE-BAA5-3F77C36C447F}
372,North Central,49,{CD445BC9-E011-40D1-9DED-B32CEB295E0F}
382,German Village,61,{50E34181-433E-4514-A8A8-0A6D2367004F}
359,Far South,64,{DE1E5BD1-465B-4DA0-A5DB-4D518C3AC9DF}
380,Italian Village,47,{23B97897-A442-4B4A-AAAF-BB956C49A386}
367,Far East,58,{E8F939C3-FAAA-488A-A9D1-A34B9B6E32D1}
390,Far West,36,{31BC0D3F-D154-4661-9A5F-9FBE3062D024}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
359,Far South,64,{DE1E5BD1-465B-4DA0-A5DB-4D518C3AC9DF}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
373,North Linden,40,{EBD72502-8437-49EA-8B84-B94262C09F21}
377,South East,65,{008B9621-739C-473B-B88B-3E837EC4C01A}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
389,Hayden Run,30,{E20B37F1-F3D6-4296-9F49-CDB0C48A2470}
374,Franklinton,54,{0AB9BDC7-71B2-4ED8-BD63-E948C7A42442}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
384,Far Northwest,31,{63A965E8-9A26-42A7-9763-5283C1590319}
376,Clintonville,39,{7775FDC1-5476-4A97-BA8A-F2DE4887CF1F}
386,Far North,32,{F8763F82-D472-46D1-94F7-A8352C185682}
390,Far West,36,{31BC0D3F-D154-4661-9A5F-9FBE3062D024}
380,Italian Village,47,{23B97897-A442-4B4A-AAAF-BB956C49A386}
361,Southwest,59,{417925A7-E194-47C5-95EE-866972B32697}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
386,Far North,32,{F8763F82-D472-46D1-94F7-A8352C185682}
386,Far North,32,{F8763F82-D472-46D1-94F7-A8352C185682}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
361,Southwest,59,{417925A7-E194-47C5-95EE-866972B32697}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
390,Far West,36,{31BC0D3F-D154-4661-9A5F-9FBE3062D024}
368,West Scioto,37,{F53FFF7E-49DE-4455-85A3-8FF84EF31A1F}
368,West Scioto,37,{F53FFF7E-49DE-4455-85A3-8FF84EF31A1F}
385,Northwest,34,{518A5E34-F736-4E99-808C-22526FFFAB1D}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
375,Northeast,41,{F70B8941-4792-49BE-BAA5-3F77C36C447F}
364,South Linden,45,{939F5DBB-93A2-490D-8F4D-7D45DBCCF4F3}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
364,South Linden,45,{939F5DBB-93A2-490D-8F4D-7D45DBCCF4F3}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
383,Victorian Village,46,{13261736-3529-467B-A2E9-2CFDE98DC5E2}
366,Milo-Grogan,48,{6625CBE2-349C-4E60-989C-85A15F4EF422}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
380,Italian Village,47,{23B97897-A442-4B4A-AAAF-BB956C49A386}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
361,Southwest,59,{417925A7-E194-47C5-95EE-866972B32697}
366,Milo-Grogan,48,{6625CBE2-349C-4E60-989C-85A15F4EF422}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
374,Franklinton,54,{0AB9BDC7-71B2-4ED8-BD63-E948C7A42442}
383,Victorian Village,46,{13261736-3529-467B-A2E9-2CFDE98DC5E2}
375,Northeast,41,{F70B8941-4792-49BE-BAA5-3F77C36C447F}
373,North Linden,40,{EBD72502-8437-49EA-8B84-B94262C09F21}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
359,Far South,64,{DE1E5BD1-465B-4DA0-A5DB-4D518C3AC9DF}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
392,Rocky Fork-Blacklick,33,{A8922071-FA1A-428B-B782-810F00B4107B}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
363,Westland,52,{FEC6B62A-1C9D-4A05-8831-A34CBEBB5A88}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
368,West Scioto,37,{F53FFF7E-49DE-4455-85A3-8FF84EF31A1F}
359,Far South,64,{DE1E5BD1-465B-4DA0-A5DB-4D518C3AC9DF}
383,Victorian Village,46,{13261736-3529-467B-A2E9-2CFDE98DC5E2}
363,Westland,52,{FEC6B62A-1C9D-4A05-8831-A34CBEBB5A88}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
372,North Central,49,{CD445BC9-E011-40D1-9DED-B32CEB295E0F}
374,Franklinton,54,{0AB9BDC7-71B2-4ED8-BD63-E948C7A42442}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
374,Franklinton,54,{0AB9BDC7-71B2-4ED8-BD63-E948C7A42442}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
372,North Central,49,{CD445BC9-E011-40D1-9DED-B32CEB295E0F}
383,Victorian Village,46,{13261736-3529-467B-A2E9-2CFDE98DC5E2}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
359,Far South,64,{DE1E5BD1-465B-4DA0-A5DB-4D518C3AC9DF}
372,North Central,49,{CD445BC9-E011-40D1-9DED-B32CEB295E0F}
359,Far South,64,{DE1E5BD1-465B-4DA0-A5DB-4D518C3AC9DF}
383,Victorian Village,46,{13261736-3529-467B-A2E9-2CFDE98DC5E2}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
369,Fifth by Northwest,42,{483FB68D-B2FA-4D58-982B-0BEAFE12A5AC}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
383,Victorian Village,46,{13261736-3529-467B-A2E9-2CFDE98DC5E2}
385,Northwest,34,{518A5E34-F736-4E99-808C-22526FFFAB1D}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
374,Franklinton,54,{0AB9BDC7-71B2-4ED8-BD63-E948C7A42442}
360,Livingston Avenue Area,62,{68BD6D27-A7AA-49EF-B7C0-6A2464E3438E}
386,Far North,32,{F8763F82-D472-46D1-94F7-A8352C185682}
385,Northwest,34,{518A5E34-F736-4E99-808C-22526FFFAB1D}
375,Northeast,41,{F70B8941-4792-49BE-BAA5-3F77C36C447F}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
376,Clintonville,39,{7775FDC1-5476-4A97-BA8A-F2DE4887CF1F}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
372,North Central,49,{CD445BC9-E011-40D1-9DED-B32CEB295E0F}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
362,University District,44,{EB56F546-7152-4174-9982-16FEBB30AC7C}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
393,Olentangy West,38,{E6BBBD24-69CF-4FF3-9A60-DC978BFD2525}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
364,South Linden,45,{939F5DBB-93A2-490D-8F4D-7D45DBCCF4F3}
372,North Central,49,{CD445BC9-E011-40D1-9DED-B32CEB295E0F}
376,Clintonville,39,{7775FDC1-5476-4A97-BA8A-F2DE4887CF1F}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
382,German Village,61,{50E34181-433E-4514-A8A8-0A6D2367004F}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
385,Northwest,34,{518A5E34-F736-4E99-808C-22526FFFAB1D}
376,Clintonville,39,{7775FDC1-5476-4A97-BA8A-F2DE4887CF1F}
385,Northwest,34,{518A5E34-F736-4E99-808C-22526FFFAB1D}
367,Far East,58,{E8F939C3-FAAA-488A-A9D1-A34B9B6E32D1}
377,South East,65,{008B9621-739C-473B-B88B-3E837EC4C01A}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
375,Northeast,41,{F70B8941-4792-49BE-BAA5-3F77C36C447F}
362,University District,44,{EB56F546-7152-4174-9982-16FEBB30AC7C}
373,North Linden,40,{EBD72502-8437-49EA-8B84-B94262C09F21}
374,Franklinton,54,{0AB9BDC7-71B2-4ED8-BD63-E948C7A42442}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
373,North Linden,40,{EBD72502-8437-49EA-8B84-B94262C09F21}
366,Milo-Grogan,48,{6625CBE2-349C-4E60-989C-85A15F4EF422}
377,South East,65,{008B9621-739C-473B-B88B-3E837EC4C01A}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
359,Far South,64,{DE1E5BD1-465B-4DA0-A5DB-4D518C3AC9DF}
362,University District,44,{EB56F546-7152-4174-9982-16FEBB30AC7C}
377,South East,65,{008B9621-739C-473B-B88B-3E837EC4C01A}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
359,Far South,64,{DE1E5BD1-465B-4DA0-A5DB-4D518C3AC9DF}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
359,Far South,64,{DE1E5BD1-465B-4DA0-A5DB-4D518C3AC9DF}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
367,Far East,58,{E8F939C3-FAAA-488A-A9D1-A34B9B6E32D1}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
362,University District,44,{EB56F546-7152-4174-9982-16FEBB30AC7C}
359,Far South,64,{DE1E5BD1-465B-4DA0-A5DB-4D518C3AC9DF}
373,North Linden,40,{EBD72502-8437-49EA-8B84-B94262C09F21}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
399,State of Ohio,66,{60C8CBE3-741E-420F-AC7F-27A720B9D053}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
385,Northwest,34,{518A5E34-F736-4E99-808C-22526FFFAB1D}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
362,University District,44,{EB56F546-7152-4174-9982-16FEBB30AC7C}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
372,North Central,49,{CD445BC9-E011-40D1-9DED-B32CEB295E0F}
374,Franklinton,54,{0AB9BDC7-71B2-4ED8-BD63-E948C7A42442}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
376,Clintonville,39,{7775FDC1-5476-4A97-BA8A-F2DE4887CF1F}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
392,Rocky Fork-Blacklick,33,{A8922071-FA1A-428B-B782-810F00B4107B}
372,North Central,49,{CD445BC9-E011-40D1-9DED-B32CEB295E0F}
375,Northeast,41,{F70B8941-4792-49BE-BAA5-3F77C36C447F}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
386,Far North,32,{F8763F82-D472-46D1-94F7-A8352C185682}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
359,Far South,64,{DE1E5BD1-465B-4DA0-A5DB-4D518C3AC9DF}
372,North Central,49,{CD445BC9-E011-40D1-9DED-B32CEB295E0F}
362,University District,44,{EB56F546-7152-4174-9982-16FEBB30AC7C}
375,Northeast,41,{F70B8941-4792-49BE-BAA5-3F77C36C447F}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
393,Olentangy West,38,{E6BBBD24-69CF-4FF3-9A60-DC978BFD2525}
375,Northeast,41,{F70B8941-4792-49BE-BAA5-3F77C36C447F}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
376,Clintonville,39,{7775FDC1-5476-4A97-BA8A-F2DE4887CF1F}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
372,North Central,49,{CD445BC9-E011-40D1-9DED-B32CEB295E0F}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
368,West Scioto,37,{F53FFF7E-49DE-4455-85A3-8FF84EF31A1F}
360,Livingston Avenue Area,62,{68BD6D27-A7AA-49EF-B7C0-6A2464E3438E}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
360,Livingston Avenue Area,62,{68BD6D27-A7AA-49EF-B7C0-6A2464E3438E}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
385,Northwest,34,{518A5E34-F736-4E99-808C-22526FFFAB1D}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
372,North Central,49,{CD445BC9-E011-40D1-9DED-B32CEB295E0F}
385,Northwest,34,{518A5E34-F736-4E99-808C-22526FFFAB1D}
374,Franklinton,54,{0AB9BDC7-71B2-4ED8-BD63-E948C7A42442}
359,Far South,64,{DE1E5BD1-465B-4DA0-A5DB-4D518C3AC9DF}
388,Mid East,57,{4BE4DBEC-082A-4779-B872-1C922A21BB54}
377,South East,65,{008B9621-739C-473B-B88B-3E837EC4C01A}
362,University District,44,{EB56F546-7152-4174-9982-16FEBB30AC7C}
372,North Central,49,{CD445BC9-E011-40D1-9DED-B32CEB295E0F}
359,Far South,64,{DE1E5BD1-465B-4DA0-A5DB-4D518C3AC9DF}
370,Greater Hilltop,53,{B2EB0D99-1757-412E-8223-3BDA6EC70595}
362,University District,44,{EB56F546-7152-4174-9982-16FEBB30AC7C}
379,Downtown,55,{591CBABE-73C6-41B8-9FC6-11A2BFA4E2DF}
371,Near East,56,{B99D0D2C-A1A8-405A-B73B-116D43398330}
377,South East,65,{008B9621-739C-473B-B88B-3E837EC4C01A}
362,University District,44,{EB56F546-7152-4174-9982-16FEBB30AC7C}
373,North Linden,40,{EBD72502-8437-49EA-8B84-B94262C09F21}
374,Franklinton,54,{0AB9BDC7-71B2-4ED8-BD63-E948C7A42442}
381,Brewery District,60,{62D7F092-8020-4A34-8242-BF894D4691CE}
364,South Linden,45,{939F5DBB-93A2-490D-8F4D-7D45DBCCF4F3}
378,Northland,35,{BB72DC22-E129-4F27-A604-9ED88FDD9743}
393,Olentangy West,38,{E6BBBD24-69CF-4FF3-9A60-DC978BFD2525}
365,South Side,63,{644B4BC2-2794-489B-ABED-0BCFECB75C45}
